docket_seq	document_name_and_date	embed_title	size	pdf_url
370	Return of Electronic Notification, 2-4-26 (Not obtained)			
371	Defendant’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 2-4-26	2 4 26 Defendant's Response To Media's Motion To Amend Notice Of Motions To Classify	150KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/ab22db3f-f62d-43fd-bf85-7e0436eabeb8.pdf
372	Return of Electronic Notification, 2-4-26 (Not obtained)			
373	State’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Motions for Classification, 2-5-26	2 5 26 State's Response To Media's Motion To Amend Order Re Notice Of Classification Motions	118KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/1fea5c3c-9ed6-43fb-b179-5b196740591d.pdf
374	Return of Electronic Notification, 2-5-26 (Not obtained)			
375	Defendant’s Reply to State’s Opposition to Motion to Classify Defendant’s Motion Filed Jan 9, 2026 as Private, 2-5-26	2 5 25 Defendant's Reply Re Motion To Classify Jan 9 Motion As Private	154KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/f0671aeb-00df-4c18-b263-05f45bc33599.pdf
376	Return of Electronic Notification, 2-5-26 (Not obtained)			
377	Request/Notice to Submit News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 2-5-26 (Not obtained)			
378	Return of Electronic Notification, 2-5-26 (Not obtained)			
379	Not Signed (Proposed) Amended Standing Order for Rule 2-202.04 Notice of Motions for Classification, 2-6-26 (Not obtained)			
380	Not Signed (Proposed) Order on Motion to Classify (Motion to Exclude), 2-6-26 (Not obtained)			
381	Return of Electronic Notification, 2-6-26 (Not obtained)			
382	Return of Electronic Notification, 2-6-26 (Not obtained)			
383	Reply to State’s Opposition to Motion to Classify Motion to Exclude Cameras, 2-6-26	2 6 26 Defendant's Reply To Motion To Classify Motion To Exclude Cameras	172KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/bdc3d47d-c108-4dde-baa8-089f8de0f747.pdf
384	Return of Electronic Notification, 2-6-26 (Not obtained)			
385	Memorandum State’s Response to News Media’s Motion for Attorney’s Eyes Only Access to Closure Motions, 2-6-26	2 6 26 State's Response To Media's Motion For Attorneys Eyes Only Access	160KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/6f183768-3636-492b-9732-d675fd399542.pdf
386	Return of Electronic Notification, 2-6-26 (Not obtained)			
387	Notice of Lodging: Redacted 12112025 Hearing Transcript, 2-10-26 (Not obtained)			
388	**** SEALED **** Filed: 12112025 Hearing Transcript Redacted, 2-10-26 (Not obtained)			
389	Return of Electronic Notification, 2-10-26 (Not obtained)			
390	Opposition to Defendant Tyler James Robinson s Memorandum in Opposition to News Media s Motion for Attorneys Eyes Only Access to Closure Motions, 2-12-26	2 12 26 Defendant's Memo In Opposition To Media Motion For Attorneys Eyes Only Access	171KB ∙ PDF file	https://andreaburkhart.substack.com/api/v1/file/a5798218-ceed-4e59-88f4-91d934a7be23.pdf
391	Return of Electronic Notification, 2-12-26 (Not obtained)			
392	Request/Notice to Submit News Media s Motion for Attorneys Eyes Only Access to Closure Motions, 2-12-26 (Not obtained)			
393	Return of Electronic Notification, 2-12-26 (Not obtained)			
394	Request and Order for Electronic Media Coverage of Court Proceedings, 2-19-26 (Not obtained)			
395	Return of Electronic Notification, 2-20-26 (Not obtained)			
396	**** PRIVATE **** Filed: Non-Public Information Reply in Support of Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom (Evidentiary Hearing Requested), 2-20-26 (Not obtained)			
397	**** PRIVATE **** Filed: Motion to Classify Motion to Classify Reply in Support of Motion to Exclude, 2-20-26 (Not obtained)			
398	**** PRIVATE **** Filed: Motion for Permission to File Over-Length: Reply in Support of Motion to Exclude, 2-20-26 (Not obtained)			
399	**** PRIVATE **** Filed: Request/Notice to Submit Request to Submit Motion for Permission to File Over-Length Reply in Support of Motion to Exclude, 2-20-26 (Not obtained)			
400	**** PRIVATE **** Filed: Order (Proposed) Order on Motion for Permission to File Over-Length Reply in Support of Motion to Exclude, 2-20-26 (Not obtained)			
401	Return of Electronic Notification, 2-20-26 (Not obtained)			
