sweep_date,tail,source,circle_key,circle_kind,city,state,event_date,offset_days,who,points_in_circle,on_ground_in_circle,min_dist_mi,ground_lat,ground_lon,passed_geo_sweep_prefilter,trace_file
2025-09-22,N560TW,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,59,False,32.81,,,True,N560TW/data/recovered/N560TW_2025-09-22_adsb-lol_trace_full.json.gz
2025-09-24,N102DZ,adsb-lol,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,407,True,1.03,47.626791,-117.52496,True,N102DZ/data/recovered/N102DZ_2025-09-24_adsb-lol_trace_full.json.gz
2025-09-24,N102DZ,airplanes-live,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,403,True,1.02,47.626791,-117.52496,True,N102DZ/data/recovered/N102DZ_2025-09-24_airplanes-live_trace_full.json.gz
2025-09-29,N560TW,adsb-lol,20250930_logan,event,Logan,UT,2025-09-30,-1,TPUSA,56,False,27.22,,,True,N560TW/data/recovered/N560TW_2025-09-29_adsb-lol_trace_full.json.gz
2025-09-29,N560TW,airplanes-live,20250930_logan,event,Logan,UT,2025-09-30,-1,TPUSA,93,False,27.23,,,True,N560TW/data/recovered/N560TW_2025-09-29_airplanes-live_trace_full.json.gz
2025-10-01,N1098L,adsbexchange-samples,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,197,False,2.63,,,True,N1098L/data/recovered/N1098L_2025-10-01_adsbexchange-samples_trace_full.json
2025-10-06,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,10,False,48.52,,,True,N582MM/data/recovered/N582MM_2025-10-06_adsb-lol_trace_full.json.gz
2025-10-06,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,6,False,48.51,,,True,N582MM/data/recovered/N582MM_2025-10-06_airplanes-live_trace_full.json.gz
2025-10-08,N102DZ,adsb-lol,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,27,False,29.91,,,True,N102DZ/data/recovered/N102DZ_2025-10-08_adsb-lol_trace_full.json
2025-10-08,N102DZ,airplanes-live,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,51,False,29.88,,,True,N102DZ/data/recovered/N102DZ_2025-10-08_airplanes-live_trace_full.json
2025-10-08,N582MM,adsb-lol,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,19,False,45.12,,,True,N582MM/data/recovered/N582MM_2025-10-08_adsb-lol_trace_full.json
2025-10-08,N582MM,airplanes-live,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,24,False,45.11,,,True,N582MM/data/recovered/N582MM_2025-10-08_airplanes-live_trace_full.json
2025-10-08,N582MM,adsb-lol,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,106,False,32.61,,,True,N582MM/data/recovered/N582MM_2025-10-08_adsb-lol_trace_full.json
