sweep_date,circle_key,circle_kind,city,state,event_date,offset_days,who,entering,on_ground,notable_ground_all,notable_ground_excl_airliner
2023-07-14,20230714_west_palm_beach,event,West Palm Beach,FL,2023-07-14,0,Charlie,857,0,0,0
2023-07-14,20230715_west_palm_beach,event,West Palm Beach,FL,2023-07-15,-1,Charlie,857,0,0,0
2023-07-14,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,949,139,20,17
2023-07-14,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1089,0,0,0
2023-07-14,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,822,1,0,0
2023-07-14,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,992,0,0,0
2023-07-14,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,526,20,7,7
2023-07-14,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,898,0,0,0
2023-07-15,20230714_west_palm_beach,event,West Palm Beach,FL,2023-07-14,1,Charlie,889,1,0,0
2023-07-15,20230715_west_palm_beach,event,West Palm Beach,FL,2023-07-15,0,Charlie,889,1,0,0
2023-07-15,20230716_west_palm_beach,event,West Palm Beach,FL,2023-07-16,-1,Charlie,889,1,0,0
2023-07-15,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,896,135,13,12
2023-07-15,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1007,0,0,0
2023-07-15,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,775,0,0,0
2023-07-15,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,884,0,0,0
2023-07-15,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,477,20,2,2
2023-07-15,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,878,0,0,0
2023-07-16,20230715_west_palm_beach,event,West Palm Beach,FL,2023-07-15,1,Charlie,741,0,0,0
2023-07-16,20230716_west_palm_beach,event,West Palm Beach,FL,2023-07-16,0,Charlie,741,0,0,0
2023-07-16,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,798,111,11,10
2023-07-16,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,922,0,0,0
2023-07-16,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,846,0,0,0
2023-07-16,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,617,0,0,0
2023-07-16,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,456,26,11,11
2023-07-16,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,855,0,0,0
2023-07-17,20230716_west_palm_beach,event,West Palm Beach,FL,2023-07-16,1,Charlie,885,0,0,0
2023-07-17,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,855,131,13,13
2023-07-17,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,957,0,0,0
2023-07-17,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,901,0,0,0
2023-07-17,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,767,0,0,0
2023-07-17,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,487,17,6,6
2023-07-17,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,832,0,0,0
2023-08-24,20230825_lincoln,event,Lincoln,NE,2023-08-25,-1,Charlie,892,13,5,5
2023-08-24,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1000,115,14,12
2023-08-24,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1083,0,0,0
2023-08-24,control_des_moines,control,Des Moines,IA,,0,CONTROL — no known Kirk/TPUSA event,809,2,0,0
2023-08-24,control_shreveport,control,Shreveport,LA,,0,CONTROL — no known Kirk/TPUSA event,885,1,0,0
2023-08-24,control_spokane,control,Spokane,WA,,0,CONTROL — no known Kirk/TPUSA event,496,14,6,6
2023-08-24,control_syracuse,control,Syracuse,NY,,0,CONTROL — no known Kirk/TPUSA event,842,0,0,0
2023-08-25,20230825_lincoln,event,Lincoln,NE,2023-08-25,0,Charlie,863,16,8,8
2023-08-25,control_albuquerque,control,Albuquerque,NM,,0,CONTROL — no known Kirk/TPUSA event,1061,141,23,21
2023-08-25,control_chattanooga,control,Chattanooga,TN,,0,CONTROL — no known Kirk/TPUSA event,1000,0,0,0
